,EN,TI,TI_tokenized,EN_tokenized
684,"Rebekah had a brother, and his name was Laban. Laban ran out to the man, to the spring.",ርብቃ ድማ ላባን ዝስሙ ሓው ነበራ። ላባን ከኣ ናብቲ ሰብኣይ ኣብ ግዳም ናብቲ ዓይኒ ማይ ጐየየ።,"['ርብቃ', 'ድማ', 'ላባን', 'ዝስሙ', 'ሓው', 'ነበራ', 'ላባን', 'ከኣ', 'ናብቲ', 'ሰብኣይ', 'ኣብ', 'ግዳም', 'ናብቲ', 'ዓይኒ', 'ማይ', 'ጐየየ']","['rebekah', 'had', 'a', 'brother', 'and', 'his', 'name', 'was', 'laban', 'laban', 'ran', 'out', 'to', 'the', 'man', 'to', 'the', 'spring']"
685,"It happened, when he saw the ring, and the bracelets on his sister''s hands, and when he heard the words of Rebekah his sister, saying, ""This is what the man said to me,"" that he came to the man. Behold, he was standing by the camels at the spring.",ኰነ ኸኣ፡ ነቲ ቀለቤትን ኣምባርን ኣብ ኢድ ሓብቱ ምስ ረኣየ፡ ዘረባ ርብቃ ሓብቱ ድማ፡ እቲ ሰብኣይ ከምዚ ኢሉ ተዛረበኒ፡ ክትብል ምስ ሰምዔ፡ ናብቲ ሰብኣይ መጸ፡ እንሆ ኸኣ፡ ምስተን ኣግማል ኣብ ጥቓ ዔላ ደው ኢሉ ነበረ።,"['ኰነ', 'ኸኣ', 'ነቲ', 'ቀለቤትን', 'ኣምባርን', 'ኣብ', 'ኢድ', 'ሓብቱ', 'ምስ', 'ረኣየ', 'ዘረባ', 'ርብቃ', 'ሓብቱ', 'ድማ', 'እቲ', 'ሰብኣይ', 'ከምዚ', 'ኢሉ', 'ተዛረበኒ', 'ክትብል', 'ምስ', 'ሰምዔ', 'ናብቲ', 'ሰብኣይ', 'መጸ', 'እንሆ', 'ኸኣ', 'ምስተን', 'ኣግማል', 'ኣብ', 'ጥቓ', 'ዔላ', 'ደው', 'ኢሉ', 'ነበረ']","['it', 'happened', 'when', 'he', 'saw', 'the', 'ring', 'and', 'the', 'bracelets', 'on', 'his', ""sister''s"", 'hands', 'and', 'when', 'he', 'heard', 'the', 'words', 'of', 'rebekah', 'his', 'sister', 'saying', '""this', 'is', 'what', 'the', 'man', 'said', 'to', 'me,""', 'that', 'he', 'came', 'to', 'the', 'man', 'behold', 'he', 'was', 'standing', 'by', 'the', 'camels', 'at', 'the', 'spring']"
686,"He said, ""Come in, you blessed of Yahweh. Why do you stand outside? For I have prepared the house, and room for the camels.""",ኣታ ናይ እግዚኣብሄር ብሩኽ፡ ንምንታይ ኣብ ግዳም ደው ትብል፧ ቤት ኣዳልየልካ አሎኹ፡ ነግማልካ ኸኣ ሰፈር፡ እቶ፡ በሎ።,"['ኣታ', 'ናይ', 'እግዚኣብሄር', 'ብሩኽ', 'ንምንታይ', 'ኣብ', 'ግዳም', 'ደው', 'ትብል', 'ቤት', 'ኣዳልየልካ', 'አሎኹ', 'ነግማልካ', 'ኸኣ', 'ሰፈር', 'እቶ', 'በሎ']","['he', 'said', '""come', 'in', 'you', 'blessed', 'of', 'yahweh', 'why', 'do', 'you', 'stand', 'outside', 'for', 'i', 'have', 'prepared', 'the', 'house', 'and', 'room', 'for', 'the', 'camels.""']"
687,"The man came into the house, and he unloaded the camels. He gave straw and provender for the camels, and water to wash his feet and the feet of the men who were with him.",ሽዑ እቲ ሰብኣይ ናብ ቤት ኣተወ። ንሱ ድማ ነተን ኣግማል ኣራገፈን፡ ሓሰርን ድርቋን ከኣ ሀበን፡ ንምሕጻብ ኣእጋሩን ኣእጋር እቶም ምስኡ ዝነበሩ ሰባትን ማይ ሀቦም።,"['ሽዑ', 'እቲ', 'ሰብኣይ', 'ናብ', 'ቤት', 'ኣተወ', 'ንሱ', 'ድማ', 'ነተን', 'ኣግማል', 'ኣራገፈን', 'ሓሰርን', 'ድርቋን', 'ከኣ', 'ሀበን', 'ንምሕጻብ', 'ኣእጋሩን', 'ኣእጋር', 'እቶም', 'ምስኡ', 'ዝነበሩ', 'ሰባትን', 'ማይ', 'ሀቦም']","['the', 'man', 'came', 'into', 'the', 'house', 'and', 'he', 'unloaded', 'the', 'camels', 'he', 'gave', 'straw', 'and', 'provender', 'for', 'the', 'camels', 'and', 'water', 'to', 'wash', 'his', 'feet', 'and', 'the', 'feet', 'of', 'the', 'men', 'who', 'were', 'with', 'him']"
688,"Food was set before him to eat, but he said, ""I will not eat until I have told my message."" He said, ""Speak on.""",መብልዕ ድማ ኣብ ቅድሚኡ ተቐረበ፡ ንሱ ግና፡ ጕዳየይ ከይነገርኩስ ኣይበልዕን፡ በለ። ንሱ ኸኣ፡ ተዛረብ፡ በለ።,"['መብልዕ', 'ድማ', 'ኣብ', 'ቅድሚኡ', 'ተቐረበ', 'ንሱ', 'ግና', 'ጕዳየይ', 'ከይነገርኩስ', 'ኣይበልዕን', 'በለ', 'ንሱ', 'ኸኣ', 'ተዛረብ', 'በለ']","['food', 'was', 'set', 'before', 'him', 'to', 'eat', 'but', 'he', 'said', '""i', 'will', 'not', 'eat', 'until', 'i', 'have', 'told', 'my', 'message.""', 'he', 'said', '""speak', 'on.""']"
689,"He said, ""I am Abraham''s servant.",ንሱ ድማ በለ፡ ኣነ ግዙእ ኣብርሃም እየ።,"['ንሱ', 'ድማ', 'በለ', 'ኣነ', 'ግዙእ', 'ኣብርሃም', 'እየ']","['he', 'said', '""i', 'am', ""abraham''s"", 'servant']"
690,"Yahweh has blessed my master greatly. He has become great. He has given him flocks and herds, silver and gold, male servants and female servants, and camels and donkeys.",እግዚኣብሄር ንጐይታይ ኣብዚሑ ባረኾን ኣዕበዮን፡ ኣባጊዕን ኣሓን ብሩርን ወርቅን፡ ገላዉን ኣግራድን ኣግማልን ኣእዱግን ከኣ ሂብዎ አሎ።,"['እግዚኣብሄር', 'ንጐይታይ', 'ኣብዚሑ', 'ባረኾን', 'ኣዕበዮን', 'ኣባጊዕን', 'ኣሓን', 'ብሩርን', 'ወርቅን', 'ገላዉን', 'ኣግራድን', 'ኣግማልን', 'ኣእዱግን', 'ከኣ', 'ሂብዎ', 'አሎ']","['yahweh', 'has', 'blessed', 'my', 'master', 'greatly', 'he', 'has', 'become', 'great', 'he', 'has', 'given', 'him', 'flocks', 'and', 'herds', 'silver', 'and', 'gold', 'male', 'servants', 'and', 'female', 'servants', 'and', 'camels', 'and', 'donkeys']"
691,"Sarah, my master''s wife, bore a son to my master when she was old. He has given all that he has to him.",ሳራ፡ ሰበይቲ ጐይታይ ድማ ምስ ኣረገት፡ ንጐይታይ ወዲ ወለደትሉ፡ ንእኡ ኸኣ ዘለዎ ዅሉ ሂብዎ አሎ።,"['ሳራ', 'ሰበይቲ', 'ጐይታይ', 'ድማ', 'ምስ', 'ኣረገት', 'ንጐይታይ', 'ወዲ', 'ወለደትሉ', 'ንእኡ', 'ኸኣ', 'ዘለዎ', 'ዅሉ', 'ሂብዎ', 'አሎ']","['sarah', 'my', ""master''s"", 'wife', 'bore', 'a', 'son', 'to', 'my', 'master', 'when', 'she', 'was', 'old', 'he', 'has', 'given', 'all', 'that', 'he', 'has', 'to', 'him']"
692,"My master made me swear, saying, ''You shall not take a wife for my son of the daughters of the Canaanites, in whose land I live,",ጐይታይ ድማ ኸምዚ ኢሉ ኣምሓለኒ፡ ካብ ኣዋልድ እዞም ኣነ ኣብ ምድሮም ዝነብር ዘሎኹ ከነኣናውያን፡ ንወደይ ሰበይቲ ኣይተምጽኣሉ።,"['ጐይታይ', 'ድማ', 'ኸምዚ', 'ኢሉ', 'ኣምሓለኒ', 'ካብ', 'ኣዋልድ', 'እዞም', 'ኣነ', 'ኣብ', 'ምድሮም', 'ዝነብር', 'ዘሎኹ', 'ከነኣናውያን', 'ንወደይ', 'ሰበይቲ', 'ኣይተምጽኣሉ']","['my', 'master', 'made', 'me', 'swear', 'saying', ""''you"", 'shall', 'not', 'take', 'a', 'wife', 'for', 'my', 'son', 'of', 'the', 'daughters', 'of', 'the', 'canaanites', 'in', 'whose', 'land', 'i', 'live']"
693,"but you shall go to my father''s house, and to my relatives, and take a wife for my son.''",ናብ ቤት ኣቦይን ናብ ዓሌተይን ኬድካ ደኣ፡ ንወደይ ሰበይቲ ኣምጽኣሉ።,"['ናብ', 'ቤት', 'ኣቦይን', 'ናብ', 'ዓሌተይን', 'ኬድካ', 'ደኣ', 'ንወደይ', 'ሰበይቲ', 'ኣምጽኣሉ']","['but', 'you', 'shall', 'go', 'to', 'my', ""father''s"", 'house', 'and', 'to', 'my', 'relatives', 'and', 'take', 'a', 'wife', 'for', 'my', ""son.''""]"
694,"I said to my master, ''What if the woman will not follow me?''",ሽዑ ኸኣ እነ ንጐይታይ፥ ምናልባሽ እታ ሰበይቲ እንተ ዘይሰዓበትኒኸ፧ በልክዎ።,"['ሽዑ', 'ኸኣ', 'እነ', 'ንጐይታይ', 'ምናልባሽ', 'እታ', 'ሰበይቲ', 'እንተ', 'ዘይሰዓበትኒኸ', 'በልክዎ']","['i', 'said', 'to', 'my', 'master', ""''what"", 'if', 'the', 'woman', 'will', 'not', 'follow', ""me?''""]"
695,"He said to me, ''Yahweh, before whom I walk, will send his angel with you, and prosper your way. You shall take a wife for my son of my relatives, and of my father''s house.",ንሱ ድማ በለኒ፡ እቲ ኣነ ኣብ ቅድሚኡ ዝማላለስ እግዚኣብሄር መልኣኹ ምሳኻ ሰዲዱ መገድኻ ኬቕንዓልካ እዩ እሞ ንወደይ ካብ ዓሌተይን ካብ ቤት ኣቦይን ሰበይቲ ኸተምጽኣሉ ኢኻ።,"['ንሱ', 'ድማ', 'በለኒ', 'እቲ', 'ኣነ', 'ኣብ', 'ቅድሚኡ', 'ዝማላለስ', 'እግዚኣብሄር', 'መልኣኹ', 'ምሳኻ', 'ሰዲዱ', 'መገድኻ', 'ኬቕንዓልካ', 'እዩ', 'እሞ', 'ንወደይ', 'ካብ', 'ዓሌተይን', 'ካብ', 'ቤት', 'ኣቦይን', 'ሰበይቲ', 'ኸተምጽኣሉ', 'ኢኻ']","['he', 'said', 'to', 'me', ""''yahweh"", 'before', 'whom', 'i', 'walk', 'will', 'send', 'his', 'angel', 'with', 'you', 'and', 'prosper', 'your', 'way', 'you', 'shall', 'take', 'a', 'wife', 'for', 'my', 'son', 'of', 'my', 'relatives', 'and', 'of', 'my', ""father''s"", 'house']"
696,"Then will you be clear from my oath, when you come to my relatives. If they don''t give her to you, you shall be clear from my oath.''",ናብ ዓሌተይ ምስ መጻእካ ድማ፡ ካብቲ ማሕላይ ክትነጽህ ኢኻ፡ እንተ ዘይሀቡኻ፡ ሽዑ ኻብቲ ማሕላይ ንጹህ ትኸውን ኢኻ።,"['ናብ', 'ዓሌተይ', 'ምስ', 'መጻእካ', 'ድማ', 'ካብቲ', 'ማሕላይ', 'ክትነጽህ', 'ኢኻ', 'እንተ', 'ዘይሀቡኻ', 'ሽዑ', 'ኻብቲ', 'ማሕላይ', 'ንጹህ', 'ትኸውን', 'ኢኻ']","['then', 'will', 'you', 'be', 'clear', 'from', 'my', 'oath', 'when', 'you', 'come', 'to', 'my', 'relatives', 'if', 'they', ""don''t"", 'give', 'her', 'to', 'you', 'you', 'shall', 'be', 'clear', 'from', 'my', ""oath.''""]"
697,"I came this day to the spring, and said, ''Yahweh, the God of my master Abraham, if now you do prosper my way which I go--",ሎሚ ኸኣ ናብዛ ዓይኒ ማይ መጺኤ በልኩ፡ ኣታ እግዚኣብሄር፡ ኣምላኽ ጐይታይ ኣብርሃም፡ እዛ ኣነ ዝኸዳ ዘሎኹ መገዲ ተቕንዓለይ እንተ ዄንካስ፡,"['ሎሚ', 'ኸኣ', 'ናብዛ', 'ዓይኒ', 'ማይ', 'መጺኤ', 'በልኩ', 'ኣታ', 'እግዚኣብሄር', 'ኣምላኽ', 'ጐይታይ', 'ኣብርሃም', 'እዛ', 'ኣነ', 'ዝኸዳ', 'ዘሎኹ', 'መገዲ', 'ተቕንዓለይ', 'እንተ', 'ዄንካስ']","['i', 'came', 'this', 'day', 'to', 'the', 'spring', 'and', 'said', ""''yahweh"", 'the', 'god', 'of', 'my', 'master', 'abraham', 'if', 'now', 'you', 'do', 'prosper', 'my', 'way', 'which', 'i', 'go--']"
698,"behold, I am standing by this spring of water. Let it happen, that the maiden who comes forth to draw, to whom I will say, ""Give me, I pray you, a little water from your pitcher to drink,""",እንሆ፡ ኣነ ኣብ ጥቓ እዛ ዓይኒ ማይ ደው ኢለ አሎኹ፡ ማይ ክትቀድሕ እትወጽእ ጓል፡ ኣነ ኸኣ፡ ካብ ዕትሮኺ ዀታ ሒደት ማይ ኣስትይኒ ዝብላ፡,"['እንሆ', 'ኣነ', 'ኣብ', 'ጥቓ', 'እዛ', 'ዓይኒ', 'ማይ', 'ደው', 'ኢለ', 'አሎኹ', 'ማይ', 'ክትቀድሕ', 'እትወጽእ', 'ጓል', 'ኣነ', 'ኸኣ', 'ካብ', 'ዕትሮኺ', 'ዀታ', 'ሒደት', 'ማይ', 'ኣስትይኒ', 'ዝብላ']","['behold', 'i', 'am', 'standing', 'by', 'this', 'spring', 'of', 'water', 'let', 'it', 'happen', 'that', 'the', 'maiden', 'who', 'comes', 'forth', 'to', 'draw', 'to', 'whom', 'i', 'will', 'say', '""give', 'me', 'i', 'pray', 'you', 'a', 'little', 'water', 'from', 'your', 'pitcher', 'to', 'drink,""']"
699,"and she will tell me, ""Drink, and I will also draw for your camels,""--let her be the woman whom Yahweh has appointed for my master''s son.''",ንሳ ድማ፡ ስተ፡ ነግማልካውን ክቐድሓለን እየ እትብለኒ፡ ንሳ እታ እግዚኣብሄር ንወዲ ጐይታይ ዝመደባ ሰበይቲ ትኹን።,"['ንሳ', 'ድማ', 'ስተ', 'ነግማልካውን', 'ክቐድሓለን', 'እየ', 'እትብለኒ', 'ንሳ', 'እታ', 'እግዚኣብሄር', 'ንወዲ', 'ጐይታይ', 'ዝመደባ', 'ሰበይቲ', 'ትኹን']","['and', 'she', 'will', 'tell', 'me', '""drink', 'and', 'i', 'will', 'also', 'draw', 'for', 'your', 'camels,""--let', 'her', 'be', 'the', 'woman', 'whom', 'yahweh', 'has', 'appointed', 'for', 'my', ""master''s"", ""son.''""]"
700,"Before I had done speaking in my heart, behold, Rebekah came forth with her pitcher on her shoulder. She went down to the spring, and drew. I said to her, ''Please let me drink.''",ኣነ ብልበይ ምዝራብ ከይወዳእኩ፡ እንሆ ርብቃ፡ ዕትሮኣ ኣብ መንኩባ ጾይራ፡ ወጸት፡ ናብ ዓይኒ ማይ ወሪዳ ድማ ቀድሔት። ኣነ ኸኣ፡ ኣስትይኒ ዀታ፡ በልክዋ።,"['ኣነ', 'ብልበይ', 'ምዝራብ', 'ከይወዳእኩ', 'እንሆ', 'ርብቃ', 'ዕትሮኣ', 'ኣብ', 'መንኩባ', 'ጾይራ', 'ወጸት', 'ናብ', 'ዓይኒ', 'ማይ', 'ወሪዳ', 'ድማ', 'ቀድሔት', 'ኣነ', 'ኸኣ', 'ኣስትይኒ', 'ዀታ', 'በልክዋ']","['before', 'i', 'had', 'done', 'speaking', 'in', 'my', 'heart', 'behold', 'rebekah', 'came', 'forth', 'with', 'her', 'pitcher', 'on', 'her', 'shoulder', 'she', 'went', 'down', 'to', 'the', 'spring', 'and', 'drew', 'i', 'said', 'to', 'her', ""''please"", 'let', 'me', ""drink.''""]"
701,"She hurried and let down her pitcher from her shoulder, and said, ''Drink, and I will also give your camels a drink.'' So I drank, and she made the camels drink also.",ቀልጢፋ ድማ ዕትሮኣ ኻብ መንኩባ ኣውሪዳ፡ ስተ፡ ነግማልካውን ከስትየን እየ፡ በለት። ኣነ ሰቴኹ፡ ነተን ኣግማል ድማ ኣስተየተን።,"['ቀልጢፋ', 'ድማ', 'ዕትሮኣ', 'ኻብ', 'መንኩባ', 'ኣውሪዳ', 'ስተ', 'ነግማልካውን', 'ከስትየን', 'እየ', 'በለት', 'ኣነ', 'ሰቴኹ', 'ነተን', 'ኣግማል', 'ድማ', 'ኣስተየተን']","['she', 'hurried', 'and', 'let', 'down', 'her', 'pitcher', 'from', 'her', 'shoulder', 'and', 'said', ""''drink"", 'and', 'i', 'will', 'also', 'give', 'your', 'camels', 'a', ""drink.''"", 'so', 'i', 'drank', 'and', 'she', 'made', 'the', 'camels', 'drink', 'also']"
702,"I asked her, and said, ''Whose daughter are you?'' She said, ''The daughter of Bethuel, Nahor''s son, whom Milcah bore to him.'' I put the ring on her nose, and the bracelets on her hands.",ኣነ ኸኣ፡ ኣቲ፡ ጓል መን ኢኺ፧ ኢለ ሐተትክዋ። ንሳ ኸኣ፡ ጓል ቤቱኤል ወዲ ናሆር፡ ሚልካ ዝወለደትሉ እየ፡ በለት። ሽዑ ኣነ ቐለቤት ኣብ ኣፍንጫኣ፡ ኣምባር ደኣ ኣብ ኣእዳዋ ገበርኩላ።,"['ኣነ', 'ኸኣ', 'ኣቲ', 'ጓል', 'መን', 'ኢኺ', 'ኢለ', 'ሐተትክዋ', 'ንሳ', 'ኸኣ', 'ጓል', 'ቤቱኤል', 'ወዲ', 'ናሆር', 'ሚልካ', 'ዝወለደትሉ', 'እየ', 'በለት', 'ሽዑ', 'ኣነ', 'ቐለቤት', 'ኣብ', 'ኣፍንጫኣ', 'ኣምባር', 'ደኣ', 'ኣብ', 'ኣእዳዋ', 'ገበርኩላ']","['i', 'asked', 'her', 'and', 'said', ""''whose"", 'daughter', 'are', ""you?''"", 'she', 'said', ""''the"", 'daughter', 'of', 'bethuel', ""nahor''s"", 'son', 'whom', 'milcah', 'bore', 'to', ""him.''"", 'i', 'put', 'the', 'ring', 'on', 'her', 'nose', 'and', 'the', 'bracelets', 'on', 'her', 'hands']"
703,"I bowed my head, and worshiped Yahweh, and blessed Yahweh, the God of my master Abraham, who had led me in the right way to take my master''s brother''s daughter for his son.",ፍግም ኢለ ድማ ንእግዚኣብሄር ሰገድኩሉ፡ ጓል ሓው ጐይታይ ንወዱ ኽወስድ ቅንዕቲ መገዲ ዝመርሓኒ ኣምላኽ ጐይታይ ኣብርሃም ኣመስገንኩ።,"['ፍግም', 'ኢለ', 'ድማ', 'ንእግዚኣብሄር', 'ሰገድኩሉ', 'ጓል', 'ሓው', 'ጐይታይ', 'ንወዱ', 'ኽወስድ', 'ቅንዕቲ', 'መገዲ', 'ዝመርሓኒ', 'ኣምላኽ', 'ጐይታይ', 'ኣብርሃም', 'ኣመስገንኩ']","['i', 'bowed', 'my', 'head', 'and', 'worshiped', 'yahweh', 'and', 'blessed', 'yahweh', 'the', 'god', 'of', 'my', 'master', 'abraham', 'who', 'had', 'led', 'me', 'in', 'the', 'right', 'way', 'to', 'take', 'my', ""master''s"", ""brother''s"", 'daughter', 'for', 'his', 'son']"
704,"Now if you will deal kindly and truly with my master, tell me. If not, tell me, that I may turn to the right hand, or to the left.""",ሕጂ ኸኣ ንጐይታይ ሞገስን እምነትን ትገብሩሉ እንተ ዄንኩም፡ ንገሩኒ። እንተዘይኰነ ድማ፡ ንየማን ወይስ ንጸጋም ክምለስ፡ ንገሩኒ።,"['ሕጂ', 'ኸኣ', 'ንጐይታይ', 'ሞገስን', 'እምነትን', 'ትገብሩሉ', 'እንተ', 'ዄንኩም', 'ንገሩኒ', 'እንተዘይኰነ', 'ድማ', 'ንየማን', 'ወይስ', 'ንጸጋም', 'ክምለስ', 'ንገሩኒ']","['now', 'if', 'you', 'will', 'deal', 'kindly', 'and', 'truly', 'with', 'my', 'master', 'tell', 'me', 'if', 'not', 'tell', 'me', 'that', 'i', 'may', 'turn', 'to', 'the', 'right', 'hand', 'or', 'to', 'the', 'left.""']"
705,"Then Laban and Bethuel answered, ""The thing proceeds from Yahweh. We can''t speak to you bad or good.",ሽዑ ላባንን ቤቱኤልን፡ እዚ ነገር እዚ ኻብ እግዚኣብሄር ዝወጸ እዩ፡ ክፉእ ሓደው ጽቡቕ ክንዛረበካ ኣይንኽእልን።,"['ሽዑ', 'ላባንን', 'ቤቱኤልን', 'እዚ', 'ነገር', 'እዚ', 'ኻብ', 'እግዚኣብሄር', 'ዝወጸ', 'እዩ', 'ክፉእ', 'ሓደው', 'ጽቡቕ', 'ክንዛረበካ', 'ኣይንኽእልን']","['then', 'laban', 'and', 'bethuel', 'answered', '""the', 'thing', 'proceeds', 'from', 'yahweh', 'we', ""can''t"", 'speak', 'to', 'you', 'bad', 'or', 'good']"
706,"Behold, Rebekah is before you. Take her, and go, and let her be your master''s son''s wife, as Yahweh has spoken.""",እንሃ፡ ርብቃ ኣብ ቅድሜኻ ኣላ፡ ውሰዳ እሞ ኺድ። ከምቲ እግዚኣብሄር ዝበሎ ድማ፡ ሰበይቲ ወዲ ጐይታኻ ትኹን፡ ኢሎም መለሱሉ።,"['እንሃ', 'ርብቃ', 'ኣብ', 'ቅድሜኻ', 'ኣላ', 'ውሰዳ', 'እሞ', 'ኺድ', 'ከምቲ', 'እግዚኣብሄር', 'ዝበሎ', 'ድማ', 'ሰበይቲ', 'ወዲ', 'ጐይታኻ', 'ትኹን', 'ኢሎም', 'መለሱሉ']","['behold', 'rebekah', 'is', 'before', 'you', 'take', 'her', 'and', 'go', 'and', 'let', 'her', 'be', 'your', ""master''s"", ""son''s"", 'wife', 'as', 'yahweh', 'has', 'spoken.""']"
707,"It happened that when Abraham''s servant heard their words, he bowed himself down to the earth to Yahweh.",ኰነ ኸኣ፡ እቲ ግዙእ ኣብርሃም ዘረባኦም ምስ ሰምዔ፡ ኣብ ምድሪ ተደፊኡ ሰገደ።,"['ኰነ', 'ኸኣ', 'እቲ', 'ግዙእ', 'ኣብርሃም', 'ዘረባኦም', 'ምስ', 'ሰምዔ', 'ኣብ', 'ምድሪ', 'ተደፊኡ', 'ሰገደ']","['it', 'happened', 'that', 'when', ""abraham''s"", 'servant', 'heard', 'their', 'words', 'he', 'bowed', 'himself', 'down', 'to', 'the', 'earth', 'to', 'yahweh']"
708,"The servant brought forth jewels of silver, and jewels of gold, and clothing, and gave them to Rebekah. He also gave precious things to her brother and her mother.",ድሕርዚ እቲ ግዙእ ኣቓሑ ብሩርን ኣቓሑ ወርቅን ክዳውንትን ኣውጺኡ ንርብቃ ሀባ። ንሓዋን ነዲኣን ድማ ክቡር ነገር ሀቦም።,"['ድሕርዚ', 'እቲ', 'ግዙእ', 'ኣቓሑ', 'ብሩርን', 'ኣቓሑ', 'ወርቅን', 'ክዳውንትን', 'ኣውጺኡ', 'ንርብቃ', 'ሀባ', 'ንሓዋን', 'ነዲኣን', 'ድማ', 'ክቡር', 'ነገር', 'ሀቦም']","['the', 'servant', 'brought', 'forth', 'jewels', 'of', 'silver', 'and', 'jewels', 'of', 'gold', 'and', 'clothing', 'and', 'gave', 'them', 'to', 'rebekah', 'he', 'also', 'gave', 'precious', 'things', 'to', 'her', 'brother', 'and', 'her', 'mother']"
709,"They ate and drank, he and the men who were with him, and stayed all night. They rose up in the morning, and he said, ""Send me away to my master.""",ንሱን እቶም ምስኡ ዝነበሩ ሰባትን ከኣ በሊዖም ሰትዮም ኣብኡ ሓደሩ። ንጽብሒቱ ምስ ተንስኡ ኸኣ፡ ናብ ጐይታይ ክምለስ ኣፋንዉኒ፡ በለ።,"['ንሱን', 'እቶም', 'ምስኡ', 'ዝነበሩ', 'ሰባትን', 'ከኣ', 'በሊዖም', 'ሰትዮም', 'ኣብኡ', 'ሓደሩ', 'ንጽብሒቱ', 'ምስ', 'ተንስኡ', 'ኸኣ', 'ናብ', 'ጐይታይ', 'ክምለስ', 'ኣፋንዉኒ', 'በለ']","['they', 'ate', 'and', 'drank', 'he', 'and', 'the', 'men', 'who', 'were', 'with', 'him', 'and', 'stayed', 'all', 'night', 'they', 'rose', 'up', 'in', 'the', 'morning', 'and', 'he', 'said', '""send', 'me', 'away', 'to', 'my', 'master.""']"
710,"Her brother and her mother said, ""Let the young lady stay with us a few days, at least ten. After that she will go.""",ሓዋን ኣዲኣን ድማ፡ እዛ ጓል ገለ ዓሰርተ መዓልቲ ምሳና ትቐኒ፡ ድሕሪኡ ትኺድ፡ በልዎ።,"['ሓዋን', 'ኣዲኣን', 'ድማ', 'እዛ', 'ጓል', 'ገለ', 'ዓሰርተ', 'መዓልቲ', 'ምሳና', 'ትቐኒ', 'ድሕሪኡ', 'ትኺድ', 'በልዎ']","['her', 'brother', 'and', 'her', 'mother', 'said', '""let', 'the', 'young', 'lady', 'stay', 'with', 'us', 'a', 'few', 'days', 'at', 'least', 'ten', 'after', 'that', 'she', 'will', 'go.""']"
711,"He said to them, ""Don''t hinder me, seeing Yahweh has prospered my way. Send me away that I may go to my master.""",ንሱ ኸኣ፡ ኣይተደናጕዩኒ፡ እግዚኣብሄር መገደይ ኣቕኒዑለይ እዩ፡ ናብ ጐይታይ ክኸይድ ስደዱኒ፡ በሎም።,"['ንሱ', 'ኸኣ', 'ኣይተደናጕዩኒ', 'እግዚኣብሄር', 'መገደይ', 'ኣቕኒዑለይ', 'እዩ', 'ናብ', 'ጐይታይ', 'ክኸይድ', 'ስደዱኒ', 'በሎም']","['he', 'said', 'to', 'them', '""don\'\'t', 'hinder', 'me', 'seeing', 'yahweh', 'has', 'prospered', 'my', 'way', 'send', 'me', 'away', 'that', 'i', 'may', 'go', 'to', 'my', 'master.""']"
712,"They said, ""We will call the young lady, and ask her.""",ነታ ጓል ጸዊዕና ኻብ ኣፋ ኽንሐትት፡ ከኣ በሉ።,"['ነታ', 'ጓል', 'ጸዊዕና', 'ኻብ', 'ኣፋ', 'ኽንሐትት', 'ከኣ', 'በሉ']","['they', 'said', '""we', 'will', 'call', 'the', 'young', 'lady', 'and', 'ask', 'her.""']"
713,"They called Rebekah, and said to her, ""Will you go with this man?"" She said, ""I will go.""",ንርብቃ ጸዊዖም ድማ፡ ምስ እዚ ሰብኣይዚዶ ትኸዲ፧ በልዋ። ንሳ ድማ፡ እኸይድ፡ በለት።,"['ንርብቃ', 'ጸዊዖም', 'ድማ', 'ምስ', 'እዚ', 'ሰብኣይዚዶ', 'ትኸዲ', 'በልዋ', 'ንሳ', 'ድማ', 'እኸይድ', 'በለት']","['they', 'called', 'rebekah', 'and', 'said', 'to', 'her', '""will', 'you', 'go', 'with', 'this', 'man?""', 'she', 'said', '""i', 'will', 'go.""']"
714,"They sent away Rebekah, their sister, with her nurse, Abraham''s servant, and his men.",ሽዑ ንርብቃ ሓብቶምን፡ ንመጕዚታን ነቲ ግዙእ ኣብርሃምን ንሰቡን ይኺዱ ሓደግዎም።,"['ሽዑ', 'ንርብቃ', 'ሓብቶምን', 'ንመጕዚታን', 'ነቲ', 'ግዙእ', 'ኣብርሃምን', 'ንሰቡን', 'ይኺዱ', 'ሓደግዎም']","['they', 'sent', 'away', 'rebekah', 'their', 'sister', 'with', 'her', 'nurse', ""abraham''s"", 'servant', 'and', 'his', 'men']"
715,"They blessed Rebekah, and said to her, ""Our sister, may you be the mother of thousands of ten thousands, and let your seed possess the gate of those who hate them.""",ንሳቶም ንርብቃ፡ ኣቲ ሓብትና፡ ኣሻሕ ኣእላፋት ኩኒ፡ ዘርእኺ ድማ ደገ ጸላእቱ ይውረስ፡ ኢሎም መረቕዋ።,"['ንሳቶም', 'ንርብቃ', 'ኣቲ', 'ሓብትና', 'ኣሻሕ', 'ኣእላፋት', 'ኩኒ', 'ዘርእኺ', 'ድማ', 'ደገ', 'ጸላእቱ', 'ይውረስ', 'ኢሎም', 'መረቕዋ']","['they', 'blessed', 'rebekah', 'and', 'said', 'to', 'her', '""our', 'sister', 'may', 'you', 'be', 'the', 'mother', 'of', 'thousands', 'of', 'ten', 'thousands', 'and', 'let', 'your', 'seed', 'possess', 'the', 'gate', 'of', 'those', 'who', 'hate', 'them.""']"
